t,x,y,theta
1527990540.486482894,-85.1583692306,87.8989692744,-1.54693034935
1527990540.619868412,-85.1443450175,87.7718331812,-1.58669574483
1527990540.753016801,-85.1434975037,87.6524469031,-1.63496152955
1527990540.886167920,-85.1344883565,87.5345645697,-1.66731907898
1527990541.19831939,-85.1448234334,87.4228519701,-1.70619757915
1527990541.152940299,-85.1545899723,87.3144682548,-1.73606724023
1527990541.286570463,-85.1648529035,87.2111245588,-1.7692839087
1527990541.486316440,-85.1810540705,87.0659446917,-1.80436458429
1527990541.687565302,-85.211295652,86.9305464209,-1.84892280424
1527990541.886688646,-85.2384459802,86.8078072963,-1.9209741636
1527990542.86281157,-85.276831697,86.6988686168,-1.98665963326
1527990542.286778203,-85.3093369182,86.5977182254,-2.06128868727
1527990542.553022402,-85.3741921125,86.4825570724,-2.16090245663
1527990542.753390449,-85.42579112,86.3966513098,-2.25616641769
1527990543.20262460,-85.5124315632,86.2964055936,-2.35535789957
1527990543.286242877,-85.6021269401,86.2025888322,-2.44315884325
1527990543.486833486,-85.6847150603,86.130324843,-2.50114533988
1527990543.687151571,-85.7830131246,86.0474373348,-2.57315855524
1527990543.886232721,-85.9055320493,85.9710520127,-2.64209826533
1527990544.19715757,-85.991576661,85.9145057384,-2.67745426733
1527990544.152931859,-86.0805634101,85.8687204773,-2.71079653301
1527990544.352601709,-86.2045680996,85.8027093551,-2.68932634686
1527990544.553710872,-86.3198642323,85.7392466492,-2.64677481064
1527990544.753036206,-86.4198861049,85.6708823237,-2.59328544926
1527990544.953216056,-86.5102633955,85.6054555006,-2.51118273808
1527990545.153238924,-86.5809828255,85.5369449215,-2.43502829307
1527990545.352868904,-86.6518056799,85.4652167214,-2.34427107519
1527990545.553077730,-86.7136256646,85.3856201985,-2.23832710426
1527990545.752950478,-86.7665881726,85.3009880203,-2.11516459194
1527990545.953843292,-86.8068664461,85.2053633291,-1.96714907587
1527990546.153408243,-86.8317686456,85.1076405074,-1.82586942001
1527990546.353390155,-86.8430195559,85.0039095039,-1.69548666303
1527990546.553373895,-86.8467460393,84.9042325589,-1.58344697025
1527990546.753582271,-86.838513039,84.800325555,-1.50097722108
1527990546.953374479,-86.8230384101,84.6918170277,-1.43632625746
1527990547.153609608,-86.7963817336,84.5651665467,-1.35984066012
1527990547.354037380,-86.7535492271,84.4222378656,-1.29487343396
1527990547.486972892,-86.7141402402,84.3153316469,-1.25283608242
1527990547.620277671,-86.6726344423,84.209901345,-1.2134158023
1527990547.758431377,-86.6305274647,84.1137486432,-1.18243956483
1527990548.21067757,-86.5742716118,83.9936587003,-1.16149830466
1527990548.220367627,-86.5282792662,83.9024394873,-1.15871993318
1527990548.487280027,-86.4700534094,83.782360252,-1.15244878019
1527990548.688203867,-86.4232287449,83.6926689116,-1.15704523953
1527990548.953906313,-86.3674197053,83.5735854377,-1.16185967666
1527990549.153897611,-86.3219022585,83.4857121727,-1.16229749481
1527990549.354082957,-86.2795968632,83.3951056437,-1.17154103273
1527990549.620600954,-86.2214570992,83.2776279196,-1.18707815461
1527990549.887142145,-86.1692775078,83.1547599154,-1.1956304617
1527990550.87880115,-86.1201577894,83.0486641291,-1.21023229178
1527990550.287063254,-86.0692755194,82.923331569,-1.22510121772
1527990550.420483027,-86.0250940555,82.8284237135,-1.22858621073
1527990550.553888396,-85.9854041098,82.7248570642,-1.23501261664
1527990550.687784437,-85.9386757145,82.6123168645,-1.24486675527
1527990550.820867372,-85.8938386619,82.4922292124,-1.25939158186
1527990550.953932916,-85.8439936468,82.3653492438,-1.26146083595
1527990551.87554880,-85.8003214038,82.2389959455,-1.27092424091
1527990551.220637697,-85.7519810999,82.1125550958,-1.2799845344
1527990551.354070940,-85.7093357221,81.9862659287,-1.28175476853
1527990551.487877095,-85.6605360003,81.8608383375,-1.28128662074
1527990551.620762169,-85.6181424132,81.734863932,-1.28619816143
1527990551.754150607,-85.5702141768,81.6099398482,-1.27560501601
1527990551.887297789,-85.528196208,81.4832997371,-1.27761622508
1527990552.20657887,-85.4850128657,81.355397111,-1.2796999792
1527990552.154032941,-85.4410358577,81.2192863924,-1.27668387959
1527990552.287455943,-85.3952927177,81.0842742897,-1.27993291966
1527990552.420767920,-85.3534011609,80.9562397293,-1.27771908306
1527990552.555213692,-85.3117205605,80.8326868866,-1.27433618384
1527990552.687976401,-85.272642675,80.7112345219,-1.28040603925
1527990552.821397580,-85.2340751837,80.596612145,-1.27702546194
1527990552.954657527,-85.198163157,80.4861431782,-1.27037344348
1527990553.87495424,-85.1625714839,80.3827199222,-1.27058384411
1527990553.220738770,-85.1286828066,80.2832240763,-1.26626584097
1527990553.353974368,-85.0965385458,80.189858257,-1.25724831256
1527990553.554251461,-85.0489032117,80.058279735,-1.25267902261
1527990553.754295406,-85.0062097511,79.9383392692,-1.24815602642
1527990553.956094960,-84.963808149,79.8246353274,-1.241224673
1527990554.154090109,-84.9271897123,79.7279133608,-1.24272826371
1527990554.420905936,-84.8859381302,79.613570582,-1.24760856057
1527990554.754493456,-84.8441713707,79.4991590468,-1.24759715966
1527990555.154329358,-84.8092608904,79.4042589744,-1.24931847726
1527990557.621296627,-84.7753156628,79.316809549,-1.35326285264
1527990557.821075532,-84.774879137,79.3164529761,-1.4726270733
1527990558.21050822,-84.7738650359,79.3194065539,-1.60747721258
1527990558.220815523,-84.7746914637,79.3193577234,-1.72978958494
1527990558.554556520,-84.7719476776,79.3201547734,-1.84201208182
1527990559.354340206,-84.7978458131,79.2171087669,-1.83564907348
1527990562.153968546,-84.8159322595,79.1276363683,-1.71793794924
1527990562.354002771,-84.815031836,79.1271243007,-1.60025025789
1527990562.554277036,-84.8103407298,79.128747201,-1.45961019613
1527990562.688356630,-84.809725565,79.1279821881,-1.35362326823
1527990562.820856386,-84.8071200768,79.1287224742,-1.23000411204
1527990562.954304216,-84.8047816668,79.1283657083,-1.09687103131
1527990563.87725851,-84.8033975404,79.1268536982,-0.949292137883
1527990563.221044773,-84.8003964165,79.1281545291,-0.787283140066
1527990563.354604428,-84.8011389156,79.1269592813,-0.61146641124
1527990563.487715155,-84.8024790771,79.1259562271,-0.420694901403
1527990563.621042130,-84.8013069492,79.127112956,-0.218095292362
1527990563.687988664,-84.8043370665,79.1251221111,-0.115648757426
1527990563.754585087,-84.805364963,79.1250793691,-0.0145312124638
1527990563.887565018,-84.8083211814,79.1254430901,0.184624180451
1527990563.954250156,-84.8097911998,79.1265469611,0.285626958718
1527990564.21464742,-84.809220999,79.1279294506,0.388124156771
1527990564.88447869,-84.8156701186,79.1273642538,0.490140066004
1527990564.221093207,-84.8144860105,79.1306154482,0.682206211265
1527990564.354738930,-84.8168952645,79.1317735587,0.85477830119
1527990564.487896388,-84.8196315885,79.131341736,1.01405185714
1527990564.621184466,-84.8209300253,79.132037819,1.16027663192
1527990564.754533180,-84.822254665,79.1328345209,1.29379347107
1527990564.887917912,-84.8245935906,79.1320188635,1.41067680814
1527990565.21414807,-84.8244339088,79.1322790192,1.51508496742
1527990565.221211931,-84.8269815189,79.1328922177,1.64332588735
1527990565.424539917,-84.8281900125,79.1329643126,1.74396047585
1527990566.354774049,-84.8576232124,79.230990869,1.81970593843
1527990566.621329420,-84.8865450361,79.3298183588,1.82903315709
1527990566.821878985,-84.9154571223,79.4261656439,1.82955008933
1527990567.21633398,-84.9495297656,79.5417268804,1.83427987635
1527990567.221182432,-84.9891588987,79.6733465189,1.84187284406
1527990567.354504880,-85.0189063888,79.7693808462,1.84872393265
1527990567.557493129,-85.0625288878,79.9126601549,1.85215618349
1527990567.688373372,-85.0956918177,80.0167005868,1.85821702843
1527990567.821268155,-85.1305287386,80.1302604262,1.86691288635
1527990567.954495549,-85.1647794241,80.2321860013,1.87304899926
1527990568.154530687,-85.2051811707,80.3538490589,1.87972509098
1527990568.355223162,-85.2531523312,80.4936322754,1.8867222361
1527990568.487832205,-85.2865132869,80.5953927622,1.88690780662
1527990568.621285255,-85.3247477036,80.7052806747,1.88851940697
1527990568.755518382,-85.3645512281,80.8242225314,1.89146297291
1527990568.887836837,-85.4096502665,80.9492196187,1.89648211772
1527990569.21486933,-85.4571326429,81.0833184121,1.89584675671
1527990569.154471986,-85.5068100917,81.2232065115,1.89906257256
1527990569.287973207,-85.5526397481,81.3585870928,1.89673051092
1527990569.421285052,-85.5985370182,81.4891645956,1.8885921651
1527990569.554539792,-85.6416592484,81.6156939403,1.89038478352
1527990569.688844939,-85.6877002346,81.7428169634,1.89168875387
1527990569.821215141,-85.731154694,81.8661906402,1.88661688771
1527990569.954446420,-85.7771934862,81.9916648398,1.89178314737
1527990570.87760303,-85.8242032182,82.1165115305,1.89390723576
1527990570.221117355,-85.8707994392,82.2423016483,1.89521721602
1527990570.354305971,-85.9233998993,82.3648498334,1.90589182022
1527990570.487843061,-85.9703304558,82.4875558285,1.90442677595
1527990570.621015604,-86.0212554444,82.6046491485,1.89960613543
1527990570.754045371,-86.0649298715,82.7191119564,1.90075463633
1527990570.954422137,-86.1158658725,82.8466520056,1.89266754297
1527990571.154705935,-86.1556057649,82.9613885398,1.87931650207
1527990571.354153080,-86.2026241408,83.0833866133,1.8743711577
1527990571.554047415,-86.2415732752,83.1975335006,1.86653690313
1527990571.753976178,-86.2860881124,83.3223307187,1.86574123344
1527990571.954249904,-86.3263890205,83.4437877662,1.86306359853
1527990572.220651768,-86.3589549654,83.5427843923,1.85354180786
1527990572.487893049,-86.3925298995,83.6483964028,1.85258421573
1527990572.753924008,-86.4278510933,83.7478613989,1.85348073738
1527990573.20588989,-86.4615463271,83.8567474378,1.84579897353
1527990573.220396640,-86.4929286089,83.956133337,1.84175789906
1527990573.487135005,-86.5311802022,84.0820474339,1.84680149741
1527990573.687732486,-86.5627367252,84.1782539253,1.85415552699
1527990573.887668014,-86.5953588864,84.27637979,1.86132238242
1527990574.86875873,-86.6346608111,84.3945446529,1.88109850616
1527990574.286895753,-86.6835165945,84.5274594139,1.91699059355
1527990574.486875442,-86.7388518975,84.6557373451,1.96172807552
1527990574.687358317,-86.8028942025,84.7916328862,2.01073275039
1527990574.887293677,-86.8697022982,84.9087718727,2.06516195915
1527990575.87247747,-86.9347165687,85.0187020124,2.08745620479
1527990575.287702816,-87.008985124,85.1335928316,2.12062470676
1527990575.487133456,-87.0784742225,85.241073404,2.16070649516
1527990575.687569106,-87.1499777867,85.3380647485,2.20648196115
1527990575.887145650,-87.2173589607,85.4224072437,2.28245838128
1527990576.87044378,-87.2885578409,85.4939072076,2.38006297995
1527990576.353682003,-87.3952686404,85.5740363738,2.5132420217
1527990576.621132419,-87.5094130455,85.6374753157,2.64085076877
1527990576.887054564,-87.6314549621,85.6893276185,2.73748470159
1527990577.86806706,-87.7377783537,85.7216107015,2.80601004862
1527990577.286872720,-87.8575670343,85.7505885067,2.88714084837
1527990577.486785912,-87.9639863967,85.7682709973,2.95326208617
1527990577.687210776,-88.0679108207,85.7786372192,3.02463540425
1527990577.953439862,-88.19688958,85.7799526823,3.1311730847
1527990578.154227083,-88.3008618248,85.7707875462,-3.08482277587
1527990578.353738261,-88.4173488953,85.7552895427,-3.01837341562
1527990578.553525930,-88.550466777,85.7272590616,-2.92680510908
1527990578.687416355,-88.6486581982,85.6989098061,-2.86363732604
1527990578.823077597,-88.753804261,85.6617509273,-2.79978159585
1527990578.953614942,-88.8643129776,85.6131124037,-2.74709416024
